pid,nameAttested,nameLanguage,nameTransliterated
511174,['unknown'],['unknown'],['Aureliane']
511176,['unknown'],['unknown'],['Baradendromia']
511178,['unknown'],['unknown'],['Baris']
511179,['unknown'],['unknown'],['Basilica Therma']
511180,['unknown'],['unknown'],['Basilinoupolis']
511181,['unknown'],['unknown'],['Bathynias']
511182,['unknown'],['unknown'],['Bathys Limen']
511183,['unknown'],['unknown'],['Bebrykes']
511184,['unknown'],['unknown'],['Beodizo']
511186,['unknown'],['unknown'],['Besbikos']
511188,['unknown'],['unknown'],['Bitenas']
511189,['unknown'],['unknown'],['Bithynia']
511190,['Βιζύη'],['grc'],['Bizye']
511193,['unknown'],['unknown'],['Brunca']
511195,['unknown'],['unknown'],['Burtudizon']
511197,['unknown'],['unknown'],['Byzapena']
511199,['unknown'],['unknown'],['Caenophrurium']
511201,['unknown'],['unknown'],['Callum']
511202,['unknown'],['unknown'],['Campus Serenus']
511205,['unknown'],['unknown'],['Charax']
511206,['unknown'],['unknown'],['Charioupolis']
511207,['unknown'],['unknown'],['Charmidea']
511208,['unknown'],['unknown'],['Chelai']
511209,['unknown'],['unknown'],['Chelaita']
511210,['unknown'],['unknown'],['Chogeae']
511220,['unknown'],['unknown'],['Dabla']
511221,['unknown'],['unknown'],['Dakibyza']
511222,['unknown'],['unknown'],['Daphnous']
511226,['unknown'],['unknown'],['Daskyleion']
511227,['unknown'],['unknown'],['Daunion Teichos']
511229,['unknown'],['unknown'],['Dekaton']
511230,['unknown'],['unknown'],['Delkon']
511231,['unknown'],['unknown'],['Delkos']
511234,['unknown'],['unknown'],['Desa']
511235,['τὰ Δίδυμα τείχη'],['grc'],['Didymateiche']
511236,['unknown'],['unknown'],['Dindymon M.']
511237,['unknown'],['unknown'],['Diolkides']
511238,['unknown'],['unknown'],['Dolionis']
511239,['unknown'],['unknown'],['Drakon']
511244,['unknown'],['unknown'],['Echeleos']
511245,['unknown'],['unknown'],['Eikote']
511246,['unknown'],['unknown'],['Eirakla']
511247,['unknown'],['unknown'],['Elaia']
511248,['unknown'],['unknown'],['Elaphonnesos']
511249,['unknown'],['unknown'],['Elekosmioi']
511250,['unknown'],['unknown'],['Enbeilos']
511251,['unknown'],['unknown'],['Ergina']
511253,['unknown'],['unknown'],['Eribolon']
511254,['unknown'],['unknown'],['Eribolon']
511259,['unknown'],['unknown'],['Geragathe']
511260,['unknown'],['unknown'],['Granicus']
511262,['unknown'],['unknown'],['Halone']
511264,['unknown'],['unknown'],['Harpagion']
511273,['unknown'],['unknown'],['Herakleion']
511276,['unknown'],['unknown'],['Hieron M.']
511282,['unknown'],['unknown'],['Kabia']
511283,['unknown'],['unknown'],['Kalasyrta']
511284,['unknown'],['unknown'],['Kalpas']
511285,['unknown'],['unknown'],['Kalpe']
511286,['unknown'],['unknown'],['Karesene']
511287,['unknown'],['unknown'],['Karesos']
511288,['unknown'],['unknown'],['Kassa']
511289,['unknown'],['unknown'],['Kianos Sinus']
511292,['unknown'],['unknown'],['Kizoura']
511294,['unknown'],['unknown'],['Kontadesdos']
511296,['unknown'],['unknown'],['Koubaita']
511298,['unknown'],['unknown'],['Kypra']
511300,['unknown'],['unknown'],['Leptoia']
511301,['unknown'],['unknown'],['Leucatas Pr.']
511302,['unknown'],['unknown'],['Liada']
511303,['unknown'],['unknown'],['[Libon] M.']
511304,['unknown'],['unknown'],['Libum']
