pid,nameAttested,nameLanguage,nameTransliterated
266030,['unknown'],['unknown'],['Scombraria Pr.']
266032,['unknown'],['unknown'],['Scombraria']
266032,['unknown'],['unknown'],['Hercules']
266034,['unknown'],['unknown'],['Sebelaci']
266035,['unknown'],['unknown'],['Segisa']
266036,['unknown'],['unknown'],['Segobriga']
266037,['unknown'],['unknown'],['Selambina']
266037,['unknown'],['unknown'],['Sel']
266038,['unknown'],['unknown'],['Sexi']
266038,['unknown'],['unknown'],['Saxetanum']
266038,['unknown'],['unknown'],['Caesarea']
266038,['unknown'],['unknown'],['Firmum Iulium']
266038,['Almuñécar'],['es'],"['Almuñécar', 'Almunecar']"
266043,['unknown'],['la'],['Sisapo']
266043,['unknown'],['unknown'],['Saesapo']
266043,['unknown'],['unknown'],['Sisalo']
266046,['unknown'],['unknown'],['Solorius M.']
266047,['unknown'],['unknown'],['Sorobis']
266048,['unknown'],['unknown'],['Sosontigi']
266048,['unknown'],['unknown'],['Sosintigi']
266048,['Alcabdet'],['es'],['Alcabdet']
266048,['Alcaudete'],['es'],['Alcaudete']
266050,['unknown'],['unknown'],['Spartarius Campus']
266051,['unknown'],['unknown'],['Sucia']
266051,['unknown'],['unknown'],['Ucia']
266051,['unknown'],['unknown'],['Ouogia']
266051,['unknown'],['unknown'],['Setia']
266051,['unknown'],['unknown'],['Sitia']
266051,['unknown'],['unknown'],['Stia']
266051,['unknown'],['unknown'],['Sutia']
266052,['Sucro oppidum'],['la'],['Sucro']
266053,['Sucro fluvius'],['la'],['Sucro']
266054,['unknown'],['unknown'],['Sucronensis Sinus']
266055,['unknown'],['unknown'],['Suel']
266057,['unknown'],['unknown'],['Tader']
266058,['unknown'],['unknown'],['Tagili']
266058,['unknown'],['unknown'],['Respublica Tagilitana']
266059,['unknown'],['unknown'],['Tagonios']
266063,['unknown'],['unknown'],['Thiar']
266066,['Toletum'],['la'],['Toletum']
266066,['Toledo'],['es'],['Toledo']
266066,['Toledo'],['es'],['Toledo']
266070,['Tucci'],['la'],['Tucci']
266070,['Augusta Gemella'],['la'],['Col. Augusta Gemella']
266070,['unknown'],['unknown'],['Itukke']
266070,['Martos'],['es'],['Martos']
266071,['unknown'],['unknown'],['Tuci']
266072,['unknown'],['unknown'],['Tugia']
266073,['unknown'],['unknown'],['Tugiensis Saltus']
266074,['unknown'],['unknown'],['Turaniana']
266075,['unknown'],['unknown'],['Turdetania']
266075,['unknown'],['unknown'],['Turdetani']
266076,['unknown'],['unknown'],['Turia']
266078,['unknown'],['unknown'],['Tutugi']
266081,['unknown'],['unknown'],['Ucubi']
266081,['unknown'],['unknown'],['Col. Claritas Iulia']
266082,['unknown'],['unknown'],['Udiva']
266082,['unknown'],['unknown'],['Uduba']
266085,['unknown'],['unknown'],['Urci']
266086,['unknown'],['unknown'],['Urcitanus Sinus']
266087,['unknown'],['unknown'],['Urgao']
266087,['unknown'],['unknown'],['Vircao']
266087,['unknown'],['unknown'],['Municipium Albense Urgauonense']
266087,['Ariona'],['es'],['Ariona']
266087,['Arjona'],['es'],['Arjona']
266090,['unknown'],['unknown'],['Valentia']
266092,['unknown'],['unknown'],['Valeria']
266093,['unknown'],['unknown'],['Vergilia']
266094,['unknown'],['unknown'],['Vicus Cuminarius']
266097,['unknown'],['unknown'],['Viniolae']
266099,['unknown'],['unknown'],['Vivatia']
266099,['unknown'],['unknown'],['Viatia']
266099,['unknown'],['unknown'],['Biatia']
270292,['unknown'],['unknown'],['Adiungi']
270293,['unknown'],['unknown'],['Aimiliana']
270294,['unknown'],['unknown'],['Alternum']
270294,['unknown'],['unknown'],['Alterum']
270294,['unknown'],['unknown'],['Asterum']
270295,['unknown'],['unknown'],['Alternia']
270296,['unknown'],['unknown'],['Althaia']
270296,['unknown'],['unknown'],['Cartala']
270297,['unknown'],['unknown'],['Amtorgis']
270298,['unknown'],['unknown'],['Andura']
270301,['unknown'],['unknown'],['Barnakis']
270303,['unknown'],['unknown'],['Beleia']
270304,['unknown'],['unknown'],['Bergoula']
270305,['unknown'],['unknown'],['Bernaba']
270306,['Bigerra'],['la'],['Bigerra']
270306,['unknown'],['unknown'],['Begerra']
270310,['unknown'],['unknown'],['Celeret']
270310,['unknown'],['unknown'],['Celeri']
270311,['unknown'],['unknown'],['Cusubi']
270311,['unknown'],['unknown'],['Casuli']
270313,['unknown'],['unknown'],['Egelesta 1']
270313,['unknown'],['unknown'],['Egelesta']
270314,['unknown'],['unknown'],['Egelesta 2']
270314,['unknown'],['unknown'],['Egelesta']
270316,['unknown'],['la'],['Hannibalis']
270317,['unknown'],['unknown'],['Helonis']
270317,['unknown'],['unknown'],['Helo']
270318,['unknown'],['unknown'],['Hyops']
270320,['unknown'],['unknown'],['Ibe']
270320,['unknown'],['unknown'],['Ide']
270321,['unknown'],['unknown'],['Icositani']
270323,['unknown'],['unknown'],['Ilarkouris']
270324,['unknown'],['unknown'],['Ileosca']
270325,['unknown'],['unknown'],['Ilourbida']
270326,['unknown'],['unknown'],['Ispinon']
270327,['unknown'],['unknown'],['Istonion']
270329,['unknown'],['unknown'],['Kallikoula']
270330,['unknown'],['unknown'],['Karka']
270331,['unknown'],['unknown'],['Kerouaria']
270332,['unknown'],['unknown'],['Krabrasia']
270334,['unknown'],['unknown'],['Laccuris']
270335,['unknown'],['unknown'],['Lassira']
270335,['unknown'],['unknown'],['Lersensis Res Publicae']
270336,['unknown'],['unknown'],['Lauro']
270337,['unknown'],['unknown'],['Laxta']
270339,['unknown'],['unknown'],['Libana']
270340,['unknown'],['unknown'],['Lobeton']
270340,['Aluarrazin'],['es'],['Aluarrazin']
270340,['Albarracín'],['es'],['Albarracin']
270341,['unknown'],['unknown'],['Loupparia']
270342,['unknown'],['unknown'],['Lyco']
270344,['unknown'],['unknown'],['Martium Ucia']
270344,['unknown'],['unknown'],['Ucia']
270345,['unknown'],['unknown'],['Mastia']
270345,['unknown'],['unknown'],['Massia']
270346,['unknown'],['unknown'],['Mediolon']
270347,['unknown'],['unknown'],['Mellaria']
270348,['unknown'],['la'],['Menariae']
270349,['unknown'],['unknown'],['Meterkosa']
270350,['unknown'],['unknown'],['Molybdina']
270352,['unknown'],['unknown'],['Nobila']
270355,['unknown'],['unknown'],['Oinoussa']
270356,['unknown'],['unknown'],['Orkelis']
270357,['unknown'],['unknown'],['Ouarada']
270357,['unknown'],['unknown'],['Varciliens(...)']
270358,['unknown'],['unknown'],['Ourkesa']
270360,['unknown'],['unknown'],['Pallantia']
270361,['unknown'],['unknown'],['Paterniana']
270362,['unknown'],['unknown'],['Plumbaria']
270363,['unknown'],['unknown'],['Poukialia']
270365,['unknown'],['unknown'],['Ripa']
270367,['unknown'],['unknown'],"['S. Martini', 'Mon.']"
270368,['unknown'],['unknown'],['Saitabikoula']
270369,['unknown'],['unknown'],['Salaria Bastetana']
270369,['unknown'],['unknown'],['Salaria']
270370,['unknown'],['unknown'],['Salduba']
270371,['unknown'],['unknown'],['Salduba']
270373,['unknown'],['unknown'],['Soricaria']
270374,['unknown'],['unknown'],['Sucaelo']
270374,['unknown'],['unknown'],['Siccaenum']
270376,['unknown'],['la'],['Tiquadra']
270377,['unknown'],['unknown'],['Tourboula']
270380,['unknown'],['unknown'],['Ulissi']
270380,['unknown'],['unknown'],['Ulisi']
270380,['unknown'],['unknown'],['Odyssea']
270381,['unknown'],['unknown'],['Urbiaca']
270382,['unknown'],['unknown'],['Urgapa']
270384,['unknown'],['unknown'],['Valebonga']
270386,['unknown'],['unknown'],['Vescelia']
271047,['unknown'],['unknown'],['Alebus']
271048,['unknown'],['unknown'],['Barbetium Iugum']
271049,['unknown'],['unknown'],['Berybraces']
271050,['unknown'],['unknown'],['Crabrasiae Iugum']
271051,['unknown'],['unknown'],['Gymnetes']
271052,['unknown'],['unknown'],['Herna']
271053,['unknown'],['unknown'],['Hiberi']
271054,['unknown'],['unknown'],['Hylactes Civitas']
271055,['unknown'],['unknown'],['Hystra Civitas']
271056,['unknown'],['unknown'],['Ilerda']
271057,['Libyphoenices'],['la'],['Libyphoenices']
271058,['unknown'],['unknown'],['Malacha']
271058,['unknown'],['unknown'],['Malaca']
271059,['unknown'],['unknown'],['Malachae']
271060,['unknown'],['unknown'],['Massiena Urbs']
271061,['unknown'],['unknown'],['Massieni']
271062,['unknown'],['unknown'],['Menace']
271063,['unknown'],['unknown'],['Minervae']
271064,['unknown'],['unknown'],['Naccararum Palus']
271065,['unknown'],['unknown'],['Namnatius Portus']
271066,['unknown'],['unknown'],['Noctilucae']
271067,['unknown'],['unknown'],['Phoenices']
271068,['unknown'],['unknown'],['[Pityussa] Iugum']
271068,['unknown'],['unknown'],['Cautes']
271069,['unknown'],['unknown'],['Sardum Mare']
271070,['unknown'],['unknown'],['Sarna Civitas']
271071,['unknown'],['unknown'],['Sicana Civitas']
271073,['unknown'],['unknown'],['Silurus M.']
271074,['unknown'],['unknown'],['Strongyle']
271075,['unknown'],['unknown'],['Theodorus']
271076,['unknown'],['unknown'],['Trete Iugum']
271077,['unknown'],['unknown'],['Tyris']
271078,['unknown'],['unknown'],['Tyrius']
271079,['unknown'],['unknown'],['Veneris Fanum']
271080,['unknown'],['unknown'],['Veneris Iugum']
271081,['unknown'],['unknown'],['Veneris Litus']
275577,['unknown'],['unknown'],['Abila M.']
275577,['Monte Hacho'],['es'],['Monte Hacho']
275577,['Ἀβίλυχ'],['grc-Latn'],['Abilyx']
275579,['unknown'],['unknown'],['Ad Mercuri']
275580,['unknown'],['unknown'],['Ad Novas']
275590,['unknown'],['unknown'],['Aquae Dacicae']
275591,['unknown'],['unknown'],['Aquila Maior Pr.']
275592,['unknown'],['unknown'],['Aquila Minor Pr.']
275596,['Autololes'],['la'],['Autololes']
275596,['unknown'],['unknown'],['Autoteles']
275599,['unknown'],['unknown'],['Banasa']
275599,['unknown'],['unknown'],['Col. Iulia Valentia Banasa']
275599,['unknown'],['la'],['Col. Iulia Valentia Banasa']
275600,['unknown'],['unknown'],['Baniurae']
275600,['unknown'],['unknown'],['Banioubai']
275600,['unknown'],['unknown'],['Boniuricis']
275601,['unknown'],['unknown'],['Baquates']
275601,['unknown'],['unknown'],['Bakouatai']
275601,['unknown'],['unknown'],['Ouakouatai']
275602,['unknown'],['unknown'],['Barbari Pr.']
275613,['unknown'],['unknown'],['Cephisis L.']
275614,['unknown'],['la'],['Columnae Herculis']
275615,['unknown'],['unknown'],['Cottae']
275615,['unknown'],['unknown'],['Kotes']
275615,['unknown'],['unknown'],['Gytte']
275624,['unknown'],['unknown'],['Ermaia Akra']
275629,['unknown'],['unknown'],['Frigidae']
275629,['unknown'],['unknown'],['Friglas']
275639,['Ἥρας'],['grc'],['Heras']
275640,['unknown'],['unknown'],['Heras']
275650,['unknown'],['unknown'],['Kaunoi']
275650,['unknown'],['unknown'],['Iangaukanoi']
275665,['unknown'],['la'],['Laud']
275666,['unknown'],['unknown'],['Lixus']
275666,['unknown'],['unknown'],['Lixitai']
275666,['unknown'],['unknown'],['Aulucus']
275667,['unknown'],['unknown'],['Lixus']
275667,['unknown'],['unknown'],['Lixox']
275667,['unknown'],['unknown'],['Lunx']
275670,['unknown'],['unknown'],['Macenites']
275670,['unknown'],['unknown'],['Makanitai']
275672,['unknown'],['unknown'],['Masikes']
275673,['unknown'],['unknown'],['Mauretania Tingitana']
275674,['unknown'],['unknown'],['Maurusii']
275674,['unknown'],['unknown'],['Mauri']
275674,['unknown'],['unknown'],['Maurensioi']
275679,['unknown'],['unknown'],['Metagonitai']
275685,['unknown'],['unknown'],['Oppidum Novum']
275688,['unknown'],['unknown'],['Ouerbikai']
275689,['unknown'],['unknown'],['Oueroueis']
275696,['unknown'],['unknown'],['Sala']
275696,['Rabat'],['en'],['Rabat']
275697,['Salat'],['la'],['Salat']
275697,['unknown'],['en'],['Bou Regreg']
275698,['unknown'],['unknown'],['Salenses']
275698,['unknown'],['unknown'],['Salinsai']
275703,['unknown'],['unknown'],['Septem']
275703,['unknown'],['unknown'],['Septa']
275703,['Ceuta'],['es'],['Ceuta']
275704,['unknown'],['unknown'],['Septem Fratres M.']
275723,['unknown'],['unknown'],['Sokossioi']
275724,['unknown'],['unknown'],['Soloeis']
275724,['promuntorium Ampelusia'],['la'],['Ampelusia Pr.']
275727,['unknown'],['unknown'],['Sububus']
275727,['unknown'],['unknown'],['Sububa']
275729,['unknown'],['unknown'],['Tabernae']
275730,['unknown'],['unknown'],['Taenia Longa']
275732,['unknown'],['unknown'],['Tamuda']
275732,['unknown'],['unknown'],['Tamucus']
275733,['unknown'],['la'],['Tamuda']
275733,['unknown'],['unknown'],['Tumuada']
275734,['unknown'],['unknown'],['Thamusida']
275736,['unknown'],['unknown'],['Tingi']
275736,['unknown'],['unknown'],['Tingitani']
275736,['unknown'],['unknown'],['Thymiaterion']
275737,['unknown'],['unknown'],['Tocolosida']
275738,['unknown'],['unknown'],['Tremuli']
275740,['unknown'],['unknown'],['Volubilis']
275740,['unknown'],['unknown'],['Volubilitani']
275740,['unknown'],['unknown'],['Ouoloubilianoi']
275742,['unknown'],['unknown'],['Zegrenses']
275743,['unknown'],['unknown'],['Zilia']
275743,['unknown'],['unknown'],['Zilil']
275744,['unknown'],['unknown'],['Zilil']
275744,['unknown'],['unknown'],['Zilis']
275744,['unknown'],['unknown'],['Col. Iulia Constantia Zilil']
278597,['unknown'],['unknown'],['Ad Mercurios']
278598,['unknown'],['unknown'],['Akra']
278599,['unknown'],['unknown'],['Anides']
278600,['unknown'],['unknown'],['Arambys']
278602,['unknown'],['unknown'],['Babba']
278602,['unknown'],['unknown'],['Col. Iulia Campestris Babba']
278602,['unknown'],['unknown'],['Castrabariensis']
278605,['unknown'],['unknown'],['Cobucla']
278607,['unknown'],['unknown'],['Dugas']
278609,['κόλπος Ἐμπορικὸς'],['grc'],['Emporikos Kolpos']
278609,['unknown'],['la'],['Sagigi Sinus']
278611,['unknown'],['unknown'],['Gilda']
278611,['unknown'],['unknown'],['Silda']
278612,['unknown'],['unknown'],['Gontiana']
278612,['unknown'],['unknown'],['Gentiano']
278614,['unknown'],['unknown'],['Hesperidum Horti']
278615,['unknown'],['unknown'],['Hesperioi']
278617,['unknown'],['unknown'],['Karikon Teichos']
278619,['unknown'],['unknown'],['Lissa']
278621,['unknown'],['unknown'],['Masaesyli']
278622,['unknown'],['unknown'],['Mauritania Egel']
278623,['unknown'],['unknown'],['Mauritania Perosis']
278623,['unknown'],['unknown'],['Mauritania Salinarum']
278624,['unknown'],['unknown'],['Melitta']
278625,['unknown'],['unknown'],['Mulelacha Pr.']
278627,['unknown'],['unknown'],['Nektiberes']
278629,['unknown'],['unknown'],['Ouobrix']
278631,['unknown'],['unknown'],['Pacatiana']
